x_curr,y_curr,x_prev,y_prev
1.57592e+44,4.02654e-89,1.18963e+44,7.06609e-89
2.08765e+44,2.29449e-89,1.57592e+44,4.02654e-89
2.76554e+44,1.30749e-89,2.08765e+44,2.29449e-89
3.66357e+44,7.45061e-90,2.76554e+44,1.30749e-89
4.85319e+44,4.24566e-90,3.66357e+44,7.45061e-90
6.42911e+44,2.41935e-90,4.85319e+44,4.24566e-90
8.51676e+44,1.37864e-90,6.42911e+44,2.41935e-90
1.12823e+45,7.85605e-91,8.51676e+44,1.37864e-90
1.49459e+45,4.4767e-91,1.12823e+45,7.85605e-91
1.97991e+45,2.551e-91,1.49459e+45,4.4767e-91
2.62282e+45,1.45366e-91,1.97991e+45,2.551e-91
3.47449e+45,8.28356e-92,2.62282e+45,1.45366e-91
4.60272e+45,4.72031e-92,3.47449e+45,8.28356e-92
6.09731e+45,2.68982e-92,4.60272e+45,4.72031e-92
8.07722e+45,1.53277e-92,6.09731e+45,2.68982e-92
1.07e+46,8.73433e-93,8.07722e+45,1.53277e-92
1.41745e+46,4.97717e-93,1.07e+46,8.73433e-93
1.87773e+46,2.83619e-93,1.41745e+46,4.97717e-93
2.48746e+46,1.61618e-93,1.87773e+46,2.83619e-93
3.29518e+46,9.20963e-94,2.48746e+46,1.61618e-93
4.36518e+46,5.24802e-94,3.29518e+46,9.20963e-94
5.78263e+46,2.99053e-94,4.36518e+46,5.24802e-94
7.66036e+46,1.70413e-94,5.78263e+46,2.99053e-94
1.01478e+47,9.7108e-95,7.66036e+46,1.70413e-94
1.3443e+47,5.5336e-95,1.01478e+47,9.7108e-95
1.78082e+47,3.15327e-95,1.3443e+47,5.5336e-95
2.35908e+47,1.79686e-95,1.78082e+47,3.15327e-95
3.12512e+47,1.02392e-95,2.35908e+47,1.79686e-95
4.1399e+47,5.83473e-96,3.12512e+47,1.02392e-95
5.4842e+47,3.32486e-96,4.1399e+47,5.83473e-96
7.26502e+47,1.89464e-96,5.4842e+47,3.32486e-96
9.6241e+47,1.07964e-96,7.26502e+47,1.89464e-96
1.27492e+48,6.15224e-97,9.6241e+47,1.07964e-96
1.68891e+48,3.50579e-97,1.27492e+48,6.15224e-97
2.23733e+48,1.99774e-97,1.68891e+48,3.50579e-97
2.96383e+48,1.13839e-97,2.23733e+48,1.99774e-97
3.92624e+48,6.48703e-98,2.96383e+48,1.13839e-97
5.20116e+48,3.69657e-98,3.92624e+48,6.48703e-98
6.89007e+48,2.10645e-98,5.20116e+48,3.69657e-98
9.12741e+48,1.20034e-98,6.89007e+48,2.10645e-98
1.20912e+49,6.84004e-99,9.12741e+48,1.20034e-98
1.60175e+49,3.89773e-99,1.20912e+49,6.84004e-99
2.12186e+49,2.22108e-99,1.60175e+49,3.89773e-99
2.81087e+49,1.26566e-99,2.12186e+49,2.22108e-99
3.72361e+49,7.21226e-100,2.81087e+49,1.26566e-99
4.93274e+49,4.10983e-100,3.72361e+49,7.21226e-100
6.53448e+49,2.34195e-100,4.93274e+49,4.10983e-100
8.65635e+49,1.33454e-100,6.53448e+49,2.34195e-100
1.14672e+50,7.60473e-101,8.65635e+49,1.33454e-100
1.51908e+50,4.33348e-101,1.14672e+50,7.60473e-101
2.01236e+50,2.46939e-101,1.51908e+50,4.33348e-101
2.66581e+50,1.40716e-101,2.01236e+50,2.46939e-101
3.53144e+50,8.01856e-102,2.66581e+50,1.40716e-101
4.67816e+50,4.5693e-102,3.53144e+50,8.01856e-102
6.19725e+50,2.60377e-102,4.67816e+50,4.5693e-102
8.2096e+50,1.48373e-102,6.19725e+50,2.60377e-102
1.08754e+51,8.45491e-103,8.2096e+50,1.48373e-102
1.44068e+51,4.81795e-103,1.08754e+51,8.45491e-103
1.9085e+51,2.74546e-103,1.44068e+51,4.81795e-103
2.52823e+51,1.56447e-103,1.9085e+51,2.74546e-103
3.34919e+51,8.915e-104,2.52823e+51,1.56447e-103
4.43673e+51,5.08013e-104,3.34919e+51,8.915e-104
5.87741e+51,2.89486e-104,4.43673e+51,5.08013e-104
7.78591e+51,1.64961e-104,5.87741e+51,2.89486e-104
1.03141e+52,9.40014e-105,7.78591e+51,1.64961e-104
